time,Open,High,Low,Close,Volume
2021-08-01,0.0008892120,0.0008892120,0.0008190345,0.0008288900,1943016.3999999999
2021-08-02,0.0008284956,0.0008647821,0.0008284956,0.0008469129,1655463.9199999999
2021-08-03,0.0008473384,0.0009006648,0.0008473384,0.0008979948,2072424.2200000000
2021-08-04,0.0008975024,0.0009193989,0.0008876497,0.0009000945,1690594.6100000001
2021-08-05,0.0008990487,0.0009236278,0.0008990487,0.0009182883,2394914.6800000002
2021-08-06,0.0009169141,0.0009312833,0.0008944452,0.0009209223,1914757.5000000000
2021-08-07,0.0009204485,0.0009204485,0.0008894464,0.0008969649,1800881.3799999999
2021-08-08,0.0008979235,0.0008979235,0.0008529097,0.0008611526,1005602.9399999999
2021-08-09,0.0008610984,0.0008610984,0.0008406984,0.0008406984,1244065.5500000000
2021-08-10,0.0008411678,0.0008934782,0.0008411678,0.0008934782,1742432.3500000001
2021-08-11,0.0008934782,0.0009352905,0.0008934782,0.0008963921,1879170.1000000001
2021-08-12,0.0008951706,0.0009252041,0.0008951706,0.0009252041,1137946.3100000001
2021-08-13,0.0009252958,0.0009660495,0.0009252958,0.0009660495,1980361.7000000000
2021-08-14,0.0009660515,0.0009660515,0.0009297826,0.0009376097,1074740.9399999999
2021-08-15,0.0009378219,0.0011545003,0.0009378219,0.0011545003,4408258.0400000000
2021-08-16,0.0011537081,0.0014421151,0.0011384006,0.0013481091,8950292.4700000007
2021-08-17,0.0013493270,0.0015895431,0.0012995597,0.0014110770,10105322.0800000001
2021-08-18,0.0014119244,0.0017488525,0.0013564388,0.0016212159,11285254.2300000004
2021-08-19,0.0016218806,0.0016218806,0.0015565986,0.0015589763,5798645.5000000000
2021-08-20,0.0015578043,0.0016261906,0.0015311510,0.0016155404,3092100.0200000000
2021-08-21,0.0016162459,0.0016438899,0.0015049689,0.0015085999,1826225.8600000001
2021-08-22,0.0015083877,0.0015672892,0.0014831478,0.0014940788,1505941.1899999999
2021-08-23,0.0014945055,0.0015369105,0.0014827989,0.0015369105,2195895.0099999998
2021-08-24,0.0015365744,0.0015913897,0.0014383246,0.0014646717,3371922.8300000001
2021-08-25,0.0014647977,0.0014798699,0.0014055202,0.0014776819,2239961.7000000002
2021-08-26,0.0014772684,0.0015936440,0.0014312451,0.0015936440,6427283.7599999998
2021-08-27,0.0015944244,0.0018288044,0.0015669823,0.0018227296,4102933.7000000002
2021-08-28,0.0018229992,0.0019839838,0.0017773810,0.0019799828,2293192.2900000000
2021-08-29,0.0019792969,0.0019792969,0.0018967206,0.0019309665,1654595.1499999999
2021-08-30,0.0019303272,0.0023534663,0.0019303272,0.0022645427,4652599.8499999996
2021-08-31,0.0022645427,0.0026675575,0.0022083985,0.0022894446,6218170.3700000001
2021-09-01,0.0022901565,0.0024333455,0.0022784115,0.0022991093,3350868.0800000001
2021-09-02,0.0022996885,0.0026211550,0.0022727315,0.0025992882,6797626.5000000000
2021-09-03,0.0025993187,0.0029169442,0.0025993187,0.0028962746,7050582.4500000002
2021-09-04,0.0028977880,0.0029793791,0.0027542983,0.0027787073,2211486.5899999999
2021-09-05,0.0027787073,0.0028485265,0.0027242424,0.0028017357,1679051.2500000000
2021-09-06,0.0028013275,0.0031793781,0.0027178049,0.0031750725,2685095.4300000002
2021-09-07,0.0031750725,0.0037092640,0.0030717942,0.0037092640,8272735.4500000002
2021-09-08,0.0037087794,0.0041771197,0.0033017582,0.0041107016,11751900.2400000002
2021-09-09,0.0041107016,0.0045518816,0.0039385291,0.0040293868,12250108.3900000006
2021-09-10,0.0040284330,0.0041946387,0.0037574086,0.0039324891,7882931.4500000002
2021-09-11,0.0039315494,0.0042034365,0.0039315494,0.0039472214,5607502.0999999996
2021-09-12,0.0039506162,0.0039506162,0.0037425457,0.0037983950,3320191.2300000000
2021-09-13,0.0037997961,0.0037997961,0.0034675115,0.0037893957,8147089.3200000003
2021-09-14,0.0037896429,0.0037896429,0.0031878451,0.0034183034,8655147.3800000008
2021-09-15,0.0034176704,0.0034454649,0.0032979626,0.0032979626,5295790.5099999998
2021-09-16,0.0032977912,0.0033623338,0.0031297393,0.0032051458,4267437.3799999999
2021-09-17,0.0032051248,0.0032051248,0.0028739852,0.0031060335,7165490.1600000001
2021-09-18,0.0031040515,0.0035129213,0.0030832556,0.0035084790,6879081.2199999997
2021-09-19,0.0035097318,0.0035328132,0.0032012318,0.0032255070,4423412.8799999999
2021-09-20,0.0032266617,0.0032266617,0.0030100802,0.0030100802,9374408.4900000002
2021-09-21,0.0030128610,0.0032892253,0.0028863307,0.0029523436,10171433.1099999994
2021-09-22,0.0029536596,0.0034515924,0.0029536596,0.0034102516,8577111.5199999996
2021-09-23,0.0034103183,0.0034103183,0.0033224158,0.0033464245,4625269.7100000000
2021-09-24,0.0033476546,0.0033500960,0.0031582618,0.0032835109,5899901.5300000003
2021-09-25,0.0032836038,0.0033305592,0.0031912355,0.0031912355,2719426.0499999998
2021-09-26,0.0031870257,0.0032164946,0.0030606744,0.0031400026,3763786.5299999998
2021-09-27,0.0031363060,0.0033566408,0.0031344217,0.0031667317,3921485.0699999998
2021-09-28,0.0031677779,0.0032103036,0.0031177631,0.0031799672,3424594.7700000000
2021-09-29,0.0031764146,0.0032895162,0.0031764146,0.0032844326,3284690.4600000000
2021-09-30,0.0032858987,0.0032858987,0.0032457510,0.0032457510,2924528.1800000002
2021-10-01,0.0032453321,0.0034206760,0.0032094449,0.0033648828,5106669.2599999998
2021-10-02,0.0033640433,0.0036088660,0.0032914702,0.0035006378,3483482.2000000002
2021-10-03,0.0035004884,0.0036105234,0.0035004884,0.0035449545,2932970.9500000002
2021-10-04,0.0035433047,0.0035433047,0.0033845527,0.0033845527,3331902.9399999999
2021-10-05,0.0033831612,0.0033831612,0.0032141409,0.0032141409,2988984.2599999998
2021-10-06,0.0032134539,0.0032134539,0.0027944468,0.0027944468,4352374.8200000003
2021-10-07,0.0027946283,0.0028946237,0.0027946283,0.0028587595,3248913.0699999998
2021-10-08,0.0028576482,0.0030066942,0.0028428089,0.0029031420,3311719.5200000000
2021-10-09,0.0029040720,0.0029103591,0.0028685156,0.0028685156,1840750.6799999999
2021-10-10,0.0028685156,0.0028685156,0.0026605596,0.0026605596,1877292.6499999999
2021-10-11,0.0026613484,0.0026617906,0.0025206222,0.0025206222,2680535.0699999998
2021-10-12,0.0025212318,0.0027560637,0.0024985937,0.0027560637,4414004.2100000000
2021-10-13,0.0027555764,0.0027555764,0.0025852481,0.0025852481,2773830.2999999998
2021-10-14,0.0025848012,0.0026584116,0.0025848012,0.0025919954,2438329.4399999999
2021-10-15,0.0025918571,0.0026711255,0.0025803049,0.0026551485,4295179.2100000000
2021-10-16,0.0026555115,0.0026555115,0.0025898602,0.0025898602,1656278.3600000001
2021-10-17,0.0025896772,0.0027256391,0.0025424947,0.0026443430,2219918.7999999998
2021-10-18,0.0026458101,0.0026458101,0.0025578774,0.0025578774,1773640.5000000000
2021-10-19,0.0025588761,0.0025588761,0.0024263764,0.0024263764,1513257.8100000001
2021-10-20,0.0024269774,0.0026624840,0.0024269774,0.0026624840,3538555.6099999999
2021-10-21,0.0026616083,0.0030301143,0.0026616083,0.0030301143,7126534.1600000001
2021-10-22,0.0030278034,0.0033721639,0.0030278034,0.0032148409,7231885.3399999999
2021-10-23,0.0032157239,0.0033313691,0.0032157239,0.0032405293,2980617.7300000000
2021-10-24,0.0032420361,0.0033349709,0.0031144345,0.0033349709,3279917.6400000001
2021-10-25,0.0033364978,0.0034350620,0.0032722337,0.0033481090,4092780.6699999999
2021-10-26,0.0033473224,0.0033774055,0.0031804499,0.0032225097,3391463.6899999999
2021-10-27,0.0032214530,0.0032990207,0.0030922542,0.0031209845,5303976.1699999999
2021-10-28,0.0031200731,0.0032584439,0.0031200731,0.0031781112,4052313.3599999999
2021-10-29,0.0031765569,0.0032590913,0.0031765569,0.0032027336,2627477.4100000001
2021-10-30,0.0032027357,0.0032027357,0.0030911628,0.0031721415,1866159.2200000000
2021-10-31,0.0031719941,0.0033370190,0.0030945000,0.0033370190,2680416.6200000001
2021-11-01,0.0033372531,0.0033865600,0.0033092994,0.0033092994,3277868.3100000001
2021-11-02,0.0033091218,0.0034763488,0.0033091218,0.0034763488,3195753.3300000001
2021-11-03,0.0034763488,0.0038742792,0.0034763488,0.0038664796,5532527.7400000002
2021-11-04,0.0038651397,0.0040336189,0.0038620008,0.0040336189,4054836.2700000000
2021-11-05,0.0040336189,0.0040336189,0.0037950227,0.0038650456,2581878.0699999998
2021-11-06,0.0038643864,0.0042237015,0.0038643864,0.0042237015,3077551.9199999999
2021-11-07,0.0042227168,0.0042227168,0.0039955482,0.0039955482,2081450.0700000001
2021-11-08,0.0039961159,0.0039961159,0.0037655118,0.0037655118,3177200.3599999999
2021-11-09,0.0037655158,0.0037655158,0.0035914808,0.0035914808,2673010.8700000001
2021-11-10,0.0035917404,0.0035955072,0.0033135833,0.0034470568,3860734.4900000002
2021-11-11,0.0034468462,0.0036236945,0.0034468462,0.0036038458,2661561.8900000001
2021-11-12,0.0036047994,0.0036489926,0.0035473243,0.0035776350,3181478.1499999999
2021-11-13,0.0035776350,0.0037680517,0.0035487382,0.0037680517,2260636.6099999999
2021-11-14,0.0037675588,0.0037675588,0.0036239837,0.0037290304,1703391.3100000001
