Date,Open,High,Low,Close,Volume
2023-10-02 02:00:00,1846.41,1848.42,1846.14,1848.35,1418
2023-10-02 03:00:00,1848.49,1848.93,1845.11,1845.45,2555
2023-10-02 04:00:00,1845.45,1847.4,1843.91,1843.94,2299
2023-10-02 05:00:00,1843.94,1845.07,1842.88,1843.99,2160
2023-10-02 06:00:00,1844.05,1844.9,1843.37,1843.5,1271
2023-10-02 07:00:00,1843.49,1844.37,1842.36,1842.57,1954
2023-10-02 08:00:00,1842.57,1843.1,1839.18,1839.67,2816
2023-10-02 09:00:00,1839.66,1846.28,1839.44,1844.59,5070
2023-10-02 10:00:00,1844.61,1846.04,1839.42,1839.81,8442
2023-10-02 11:00:00,1839.8,1843.23,1839.5,1839.56,6127
2023-10-02 12:00:00,1839.54,1839.69,1831.1,1834.3,9152
2023-10-02 13:00:00,1834.29,1836.32,1832.81,1833.48,5897
2023-10-02 14:00:00,1833.5,1838.23,1833.5,1837.27,6295
2023-10-02 15:00:00,1837.28,1840.63,1833.98,1836.3,12211
2023-10-02 16:00:00,1836.29,1838.44,1832.31,1833.81,17819
2023-10-02 17:00:00,1833.81,1836.93,1827.14,1828.89,26307
2023-10-02 18:00:00,1828.89,1834.63,1827.48,1832.62,14922
2023-10-02 19:00:00,1832.62,1833.24,1830.46,1831.63,9132
2023-10-02 20:00:00,1831.56,1833.6,1831.03,1831.91,6450
2023-10-02 21:00:00,1831.93,1833.4,1830.26,1830.6,4169
2023-10-02 22:00:00,1830.59,1830.66,1829.22,1829.38,4011
2023-10-02 23:00:00,1829.35,1829.66,1827.48,1827.77,1511
2023-10-03 01:00:00,1828.97,1829.65,1827.36,1828.15,1418
2023-10-03 02:00:00,1828.15,1828.16,1820.38,1824.99,3649
2023-10-03 03:00:00,1825.0,1825.26,1822.09,1824.76,4931
2023-10-03 04:00:00,1824.73,1825.15,1822.64,1822.98,4132
2023-10-03 05:00:00,1822.98,1823.26,1815.25,1817.44,4479
2023-10-03 06:00:00,1817.43,1820.82,1817.01,1820.52,2932
2023-10-03 07:00:00,1820.52,1821.79,1819.83,1820.69,3680
2023-10-03 08:00:00,1820.67,1820.93,1818.21,1819.45,3838
2023-10-03 09:00:00,1819.41,1824.65,1819.14,1823.92,6652
2023-10-03 10:00:00,1823.93,1824.51,1820.7,1824.1,7416
2023-10-03 11:00:00,1824.1,1829.15,1823.98,1826.25,7301
2023-10-03 12:00:00,1826.26,1827.98,1823.8,1826.47,5891
2023-10-03 13:00:00,1826.47,1827.37,1825.02,1825.81,4994
2023-10-03 14:00:00,1825.8,1827.34,1823.67,1825.97,8082
2023-10-03 15:00:00,1825.96,1829.8,1824.36,1824.82,14297
2023-10-03 16:00:00,1824.89,1831.37,1823.27,1828.92,18913
2023-10-03 17:00:00,1828.92,1833.38,1819.3,1826.44,40958
2023-10-03 18:00:00,1826.44,1828.63,1822.02,1824.83,18894
2023-10-03 19:00:00,1824.83,1828.11,1822.9,1823.91,11202
2023-10-03 20:00:00,1823.95,1826.0,1822.94,1823.57,6802
2023-10-03 21:00:00,1823.56,1825.53,1821.91,1823.89,5599
2023-10-03 22:00:00,1823.82,1825.29,1823.4,1823.88,4485
2023-10-03 23:00:00,1823.93,1824.99,1822.73,1822.94,1621
2023-10-04 01:00:00,1823.35,1824.28,1822.11,1822.62,1230
2023-10-04 02:00:00,1822.62,1824.92,1822.19,1823.32,1897
2023-10-04 03:00:00,1823.26,1825.06,1821.88,1823.3,3478
2023-10-04 04:00:00,1823.29,1824.35,1820.82,1822.74,5420
2023-10-04 05:00:00,1822.72,1823.01,1820.03,1820.75,3128
2023-10-04 06:00:00,1820.75,1822.15,1819.63,1820.79,2836
2023-10-04 07:00:00,1820.77,1823.84,1820.77,1823.6,2556
2023-10-04 08:00:00,1823.59,1823.73,1820.93,1821.22,3256
2023-10-04 09:00:00,1821.24,1821.44,1816.72,1819.1,6151
2023-10-04 10:00:00,1819.1,1823.18,1817.44,1823.11,12155
2023-10-04 11:00:00,1823.11,1823.64,1820.27,1822.94,8151
2023-10-04 12:00:00,1822.96,1824.54,1821.44,1822.11,5951
2023-10-04 13:00:00,1822.1,1823.26,1821.1,1823.13,5494
