Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-402,4563,4679,2175.95,2179.54625,2179.54625,2144.6025,-1795.874398500022,350.1818985,-0.0020530569406466944,2024-03-13 19:00:00,2024-03-20 20:00:00,7 days 01:00:00,ob
235,4724,4726,2159.6,2163.14,2153.534821428572,2221.6599285714287,628.7312199999915,203.16878000000003,0.001238864604556392,2024-03-22 19:00:00,2024-03-22 21:00:00,0 days 02:00:00,ob
-162,4742,4762,2172.55,2181.367142857143,2181.367142857143,2147.650857142857,-1569.4440582856887,141.06691542857146,-0.004459242036185239,2024-03-25 14:00:00,2024-03-26 11:00:00,0 days 21:00:00,ob
275,4768,4815,2174.1,2222.009642857143,2168.9491071428574,2222.009642857143,12933.365755357154,241.78603035714286,0.021632133263682244,2024-03-26 17:00:00,2024-03-28 18:00:00,2 days 01:00:00,ob
-302,5023,5024,2352.4,2356.27,2357.5225,2268.415,-1453.143667999967,284.40366800000004,-0.002045457405203255,2024-04-11 20:00:00,2024-04-11 21:00:00,0 days 01:00:00,ob
92,5046,5066,2346.85,2330.348392857143,2330.348392857143,2394.545357142857,-1604.2083075713929,86.06045042857144,-0.007429979257910916,2024-04-12 20:00:00,2024-04-15 17:00:00,2 days 21:00:00,ob
54,5067,5121,2349.4,2367.89,2321.42625,2430.4185,947.5132679999882,50.946732000000004,0.007468520473312324,2024-04-15 18:00:00,2024-04-18 03:00:00,2 days 09:00:00,sweep
-107,5131,5145,2382.91,2397.0916071428574,2397.0916071428574,2324.7566428571427,-1619.7239986786099,102.29203439285715,-0.006352572050260421,2024-04-18 13:00:00,2024-04-19 04:00:00,0 days 15:00:00,ob
-223,5226,5228,2324.5,2331.2769642857143,2331.2769642857143,2291.9767857142856,-1718.9106883214222,207.64765260714285,-0.0033160334173247133,2024-04-24 16:00:00,2024-04-24 18:00:00,0 days 02:00:00,ob
-90,5229,5250,2322.52,2339.111785714286,2339.111785714286,2292.1587142857143,-1577.1700864285822,83.90937214285715,-0.007545300824719925,2024-04-24 19:00:00,2024-04-25 17:00:00,0 days 22:00:00,sweep
366,5273,5283,2331.38,2327.343571428571,2327.343571428571,2369.8974285714285,-1818.3514225716008,341.01856542857143,-0.002131001074777443,2024-04-26 17:00:00,2024-04-29 04:00:00,2 days 11:00:00,ob
84,5311,5315,2320.66,2314.83,2303.318392857143,2351.907357142857,-567.5962319999938,77.876232,-0.002911713908974185,2024-04-30 09:00:00,2024-04-30 13:00:00,0 days 04:00:00,ob
-320,5409,5410,2322.95,2327.4951785714284,2327.4951785714284,2278.0140714285717,-1752.0856342857078,297.62849142857146,-0.0023570320528391977,2024-05-06 15:00:00,2024-05-06 16:00:00,0 days 01:00:00,ob
448,5427,5428,2320.42,2317.1860714285717,2317.1860714285717,2331.536428571428,-1864.3295039999011,415.5295040000001,-0.0017934036880022219,2024-05-07 10:00:00,2024-05-07 11:00:00,0 days 01:00:00,sweep
303,5432,5444,2311.72,2307.044821428571,2307.044821428571,2331.5519285714286,-1696.4762553214553,279.8971481785714,-0.002421976509142288,2024-05-07 15:00:00,2024-05-08 04:00:00,0 days 13:00:00,ob
298,5452,5453,2307.27,2310.84,2302.593214285714,2331.5392857142856,788.6206440000487,275.23935600000004,0.0011469736961863728,2024-05-08 12:00:00,2024-05-08 13:00:00,0 days 01:00:00,sweep
-373,5457,5459,2316.83,2320.6003571428573,2320.6003571428573,2277.900142857143,-1752.2955189286645,345.95230464285714,-0.00202770303142043,2024-05-08 17:00:00,2024-05-08 19:00:00,0 days 02:00:00,ob
-291,5478,5479,2321.12,2326.71,,2277.7192142857143,-1897.1937060000423,270.50370599999997,-0.002808801785345015,2024-05-09 15:00:00,2024-05-09 16:00:00,0 days 01:00:00,ob
182,5687,5691,2386.63,2379.1071428571427,2379.1071428571427,2449.0408571428575,-1542.6328320000553,173.47283199999998,-0.0035514531248785966,2024-05-22 17:00:00,2024-05-22 21:00:00,0 days 04:00:00,ob
315,5794,5797,2345.17,2340.8621428571428,2340.8621428571428,2418.744857142857,-1652.19502500005,295.22002499999996,-0.002236538746201222,2024-05-29 11:00:00,2024-05-29 14:00:00,0 days 03:00:00,ob
-374,5845,5846,2356.97,2348.35,2360.552142857143,2326.072857142857,2871.9220639999594,351.957936,0.0032579693419940714,2024-05-31 16:00:00,2024-05-31 17:00:00,0 days 01:00:00,ob
-215,5862,5865,2326.19,2332.5446428571427,2332.5446428571427,2315.3638571428573,-1566.573803928518,200.32558964285715,-0.0031323278776515012,2024-06-03 10:00:00,2024-06-03 13:00:00,0 days 03:00:00,ob
-85,5869,5924,2342.34,2355.04,2358.173035714286,2315.319214285714,-1159.3554599999845,79.85546000000001,-0.005823012884551251,2024-06-03 17:00:00,2024-06-06 03:00:00,2 days 10:00:00,ob
316,6009,6050,2308.36,2304.122142857143,2304.122142857143,2387.134857142857,-1630.671728571427,291.5088714285714,-0.00223550640776511,2024-06-11 19:00:00,2024-06-13 14:00:00,1 days 19:00:00,ob
67,6052,6054,2323.33,2303.869642857143,2303.869642857143,2387.005857142857,-1365.8484037857042,62.00447521428572,-0.008774387224986746,2024-06-13 16:00:00,2024-06-13 18:00:00,0 days 02:00:00,sweep
183,6055,6198,2297.51,2319.17,2290.369642857143,2373.077857142857,3794.8095119999734,168.97048800000002,0.009025712184059967,2024-06-13 19:00:00,2024-06-24 03:00:00,10 days 08:00:00,ob
-382,6279,6280,2318.98,2322.77,,2310.219214285714,-1802.409699999986,354.6297,-0.0020346661032005697,2024-06-27 15:00:00,2024-06-27 16:00:00,0 days 01:00:00,ob
-516,6298,6298,2327.17,2329.770892857143,2329.770892857143,2294.0423571428573,-1822.6570144285179,480.5963001428572,-0.001517844006116425,2024-06-28 11:00:00,2024-06-28 11:00:00,0 days 00:00:00,sweep
208,6320,6327,2326.55,2320.2355357142856,2320.2355357142856,2339.312214285714,-1506.7148497143555,193.3062782857143,-0.003113546406850243,2024-07-01 10:00:00,2024-07-01 17:00:00,0 days 07:00:00,sweep
266,6329,6347,2326.99,2322.108214285714,2322.108214285714,2339.121285714286,-1545.887025000022,247.332025,-0.002497477581400363,2024-07-01 19:00:00,2024-07-02 14:00:00,0 days 19:00:00,ob
184,6350,6365,2325.66,2339.2100714285716,2318.7001785714288,2339.2100714285716,2321.5459242286315,171.66721862857145,0.0054251685174471,2024-07-02 17:00:00,2024-07-03 09:00:00,0 days 16:00:00,ob
214,6441,6442,2366.87,2355.54,,2392.4182857142855,-2626.739147999984,202.119148,-0.005185955291165055,2024-07-08 18:00:00,2024-07-08 19:00:00,0 days 01:00:00,ob
251,6462,6463,2360.2,2355.1225,2355.1225,2392.5029999999997,-1511.161689499968,236.70918949999998,-0.002550870477078136,2024-07-09 16:00:00,2024-07-09 17:00:00,0 days 01:00:00,sweep
299,6787,6835,2375.21,2431.276642857143,2370.9816071428572,2431.276642857143,16476.498313042917,287.42790124285716,0.023200199362823276,2024-07-29 19:00:00,2024-07-31 21:00:00,2 days 02:00:00,ob
252,6877,6878,2428.91,2423.2458928571427,2423.2458928571427,2457.5263571428573,-1671.9036569999942,244.548657,-0.002731487919037207,2024-08-02 17:00:00,2024-08-02 18:00:00,0 days 01:00:00,ob
-212,6966,6969,2410.2,2414.0,2416.848214285714,2364.627285714286,-1010.1460800000386,204.54608000000002,-0.001976947971122764,2024-08-08 14:00:00,2024-08-08 17:00:00,0 days 03:00:00,ob
-208,7104,7105,2470.4,2477.1219642857145,2477.1219642857145,2417.208785714286,-1603.9854851428852,205.81691371428573,-0.003121546582970896,2024-08-16 14:00:00,2024-08-16 15:00:00,0 days 01:00:00,ob
