Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-216,2817,2819,1998.52,2001.13,2003.078392857143,1989.403214285714,-736.5448800000275,172.78488000000002,-0.001706227608430382,2023-11-24 15:00:00,2023-11-24 17:00:00,0 days 02:00:00,ob
342,2930,2931,2036.67,2042.41,2033.80625,2042.3975,1684.070928000003,279.009072,0.0024177623277211726,2023-12-01 16:00:00,2023-12-01 17:00:00,0 days 01:00:00,ob
425,3023,3023,2026.4,2031.1142857142859,2024.0728571428572,2031.1142857142859,1658.682714285742,344.8887142857143,0.001925968642490484,2023-12-07 17:00:00,2023-12-07 17:00:00,0 days 00:00:00,sweep
216,3025,3033,2023.9,2033.2582142857145,2019.2208928571429,2033.2582142857145,1846.105050857176,175.26923485714286,0.004222927339718908,2023-12-07 19:00:00,2023-12-08 04:00:00,0 days 09:00:00,ob
354,3039,3044,2028.94,2026.0255357142855,2026.0255357142855,2034.7689285714291,-1318.811917071515,287.0915599285714,-0.0018361594689135,2023-12-08 10:00:00,2023-12-08 15:00:00,0 days 05:00:00,ob
-234,3090,3091,1996.43,1984.44,2000.7730357142857,1987.7439285714288,2619.355284000002,186.304716,0.005606921354617997,2023-12-12 15:00:00,2023-12-12 16:00:00,0 days 01:00:00,ob
-113,3092,3119,1981.87,1990.8598214285714,1990.8598214285714,1963.3203571428573,-1105.6335153928687,89.7836939642857,-0.004936937030611111,2023-12-12 17:00:00,2023-12-13 21:00:00,1 days 04:00:00,sweep
-134,3186,3206,2031.88,2039.598392857143,2039.598392857143,2016.4432142857145,-1143.3802637857088,109.11562092857145,-0.004199405740355881,2023-12-18 19:00:00,2023-12-19 16:00:00,0 days 21:00:00,ob
141,3349,3363,2070.36,2063.13,2063.13,2084.82,-1135.9944180000025,116.56441800000002,-0.0038914478641395443,2023-12-28 21:00:00,2023-12-29 12:00:00,0 days 15:00:00,ob
263,3364,3366,2064.74,2060.9414285714283,2060.9414285714283,2072.457142857144,-1216.0351288571483,217.01084314285714,-0.002239365592900724,2023-12-29 13:00:00,2023-12-29 15:00:00,0 days 02:00:00,sweep
437,3390,3391,2063.62,2061.334464285714,2061.334464285714,2068.1910714285714,-1359.300127321441,360.52102017857146,-0.0015073155945100698,2024-01-02 16:00:00,2024-01-02 17:00:00,0 days 01:00:00,ob
115,3393,3408,2066.05,2057.529642857143,2057.529642857143,2083.1207142857143,-1074.6834032143145,94.8423317857143,-0.004523159203034191,2024-01-02 19:00:00,2024-01-03 11:00:00,0 days 16:00:00,sweep
-284,3460,3461,2063.31,2054.89,2066.745535714286,2056.4389285714283,2157.3662400000208,233.91376000000002,0.0036816377568082894,2024-01-05 17:00:00,2024-01-05 18:00:00,0 days 01:00:00,ob
-77,3462,3479,2045.15,2019.537857142857,2057.9710714285716,2019.537857142857,1909.5388070000108,62.59619300000001,0.012125861323479639,2024-01-05 19:00:00,2024-01-08 13:00:00,2 days 18:00:00,sweep
159,3508,3520,2031.12,2024.7505357142857,2024.7505357142857,2043.888928571429,-1141.721504464277,128.97668303571427,-0.003535309776309217,2024-01-09 19:00:00,2024-01-10 08:00:00,0 days 13:00:00,sweep
133,3522,3531,2030.84,2023.2816071428572,2023.2816071428572,2045.9567857142854,-1113.1058847499837,107.83963474999999,-0.004121061816081636,2024-01-10 10:00:00,2024-01-10 19:00:00,0 days 09:00:00,sweep
-88,3546,3550,2031.55,2042.840357142857,2042.840357142857,2008.9692857142857,-1065.260698857143,71.70927028571428,-0.005958620370793649,2024-01-11 11:00:00,2024-01-11 15:00:00,0 days 04:00:00,ob
-56,3551,3571,2029.44,2046.8348214285713,2046.8348214285713,1994.7103571428574,-1019.7642779999915,45.654278000000005,-0.008972956279986977,2024-01-11 16:00:00,2024-01-12 13:00:00,0 days 21:00:00,sweep
-154,3672,3681,2024.39,2029.8810714285714,2029.8810714285714,2011.007857142857,-970.496548999985,124.87154900000002,-0.003112999789001612,2024-01-19 01:00:00,2024-01-19 10:00:00,0 days 09:00:00,ob
